,name,Website,Type,Size,address3,city,state,zip,Public/Private,For-Profit/NFP,Primarily_Associates?
0,A T Still University of Health Sciences,WWW.ATSU.EDU,"4-year, Private not-for-profit",3480.0,800 W Jefferson,Kirksville,Missouri,63501,Private,NFP,No
1,Abilene Christian University,www.acu.edu,"4-year, Private not-for-profit",4669.0,1600 Campus Court,Abilene,Texas,79699,Private,NFP,No
2,Abraham Baldwin Agricultural College,www.abac.edu,"4-year, primarily associate's, Public",3600.0,2802 Moore Hwy,Tifton,Georgia,31793-2601,Public,NFP,Yes
3,Academy College,www.academycollege.edu,"4-year, primarily associate's, Private for-profit",165.0,"1101 E. 78th Street, Suite 100",Minneapolis,Minnesota,55420-1554,Private,For-Profit,Yes
4,Academy for Five Element Acupuncture,www.acupuncturist.edu,"4-year, Private not-for-profit",51.0,305 SE 2nd Ave,Gainesville,Florida,32601,Private,NFP,No
5,Academy of Art University,www.academyart.edu,"4-year, Private for-profit",13181.0,79 New Montgomery,San Francisco,California,94105,Private,For-Profit,No
6,Academy of Chinese Culture and Health Sciences,www.acchs.edu,"4-year, Private not-for-profit",92.0,1601 Clay St,Oakland,California,94612,Private,NFP,No
7,Academy of Oriental Medicine,www.aoma.edu,"4-year, Private for-profit",207.0,2700 W Anderson Ln Ste 204,Austin,Texas,78757,Private,For-Profit,No
8,Academy of Vocal Arts,www.avaopera.org,"4-year, Private not-for-profit",27.0,1920 Spruce St,Philadelphia,Pennsylvania,19103-6685,Private,NFP,No
9,Acupuncture and Integrative Medicine College-Berkeley,www.aimc.edu,"4-year, Private not-for-profit",181.0,2550 Shattuck Ave,Berkeley,California,94704,Private,NFP,No
10,Acupuncture and Massage College,WWW.AMCOLLEGE.edu,"4-year, primarily associate's, Private for-profit",131.0,10506 N Kendall Drive,Miami,Florida,33176,Private,For-Profit,Yes
11,Adams State College,www.adams.edu,"4-year, Public",2920.0,208 Edgemont Blvd,Alamosa,Colorado,81102,Public,NFP,No
12,Adelphi University,WWW.ADELPHI.EDU,"4-year, Private not-for-profit",8177.0,South Ave,Garden City,New York,11530-0701,Private,NFP,No
13,Adler Graduate School,www.alfredadler.edu,"4-year, Private not-for-profit",274.0,1550 East 78th Street,Richfield,Minnesota,55423,Private,NFP,No
14,Adler School of Professional Psychology,www.adler.edu,"4-year, Private not-for-profit",639.0,"65 East Wacker Place, Suite 2100",Chicago,Illinois,60601,Private,NFP,No
15,Adrian College,www.adrian.edu,"4-year, Private not-for-profit",1469.0,110 S Madison St,Adrian,Michigan,49221-2575,Private,NFP,No
16,Agnes Scott College,www.agnesscott.edu,"4-year, Private not-for-profit",832.0,141 E. College Ave,Decatur,Georgia,30030-3797,Private,NFP,No
17,AI Miami International University of Art and Design,www.aimiu.aii.edu,"4-year, Private for-profit",3429.0,1501 Biscayne Boulevard,Miami,Florida,33132-1418,Private,For-Profit,No
18,AIB College of Business,www.aib.edu,"4-year, primarily associate's, Private not-for-profit",985.0,2500 Fleur Drive,Des Moines,Iowa,50321-1799,Private,NFP,Yes
19,Air Force Institute of Technology-Graduate School of Engineering & Management,www.afit.edu,"4-year, Public",773.0,2950 Hobson Way-Wright Patterson AFB,Dayton,Ohio,45433-7765,Public,NFP,No
20,Alabama A & M University,www.aamu.edu/,"4-year, Public",5124.0,4900 Meridian St,Normal,Alabama,35762,Public,NFP,No
21,Alabama State University,www.alasu.edu,"4-year, Public",5695.0,915 S Jackson Street,Montgomery,Alabama,36101-0271,Public,NFP,No
22,Alaska Pacific University,www.alaskapacific.edu,"4-year, Private not-for-profit",803.0,4101 University Dr,Anchorage,Alaska,99508,Private,NFP,No
23,Albany College of Pharmacy and Health Sciences,www.acp.edu,"4-year, Private not-for-profit",1525.0,106 New Scotland Avenue,Albany,New York,12208-3492,Private,NFP,No
24,Albany Law School,www.albanylaw.edu,"4-year, Private not-for-profit",784.0,80 New Scotland Avenue,Albany,New York,12208,Private,NFP,No
25,Albany Medical College,www.amc.edu,"4-year, Private not-for-profit",839.0,47 New Scotland Ave,Albany,New York,12208-0000,Private,NFP,No
26,Albany State University,www.asurams.edu/,"4-year, Public",4176.0,504 College Dr.,Albany,Georgia,31705,Public,NFP,No
27,Albertus Magnus College,www.albertus.edu,"4-year, Private not-for-profit",2129.0,700 Prospect St,New Haven,Connecticut,06511-1189,Private,NFP,No
28,Albion College,www.albion.edu,"4-year, Private not-for-profit",1860.0,611 E Porter St,Albion,Michigan,49224,Private,NFP,No
29,Albright College,www.albright.edu,"4-year, Private not-for-profit",2305.0,1621 N. 13th St.,Reading,Pennsylvania,19612-5234,Private,NFP,No
30,Alcorn State University,www.alcorn.edu,"4-year, Public",3252.0,1000 ASU Dr Ste 359,Alcorn State,Mississippi,39096-7500,Public,NFP,No
31,Alderson Broaddus College,www.ab.edu/,"4-year, Private not-for-profit",738.0,101 College Hill Drive,Philippi,West Virginia,26416-2035,Private,NFP,No
32,Alfred University,www.alfred.edu,"4-year, Private not-for-profit",2427.0,One Saxon Drive,Alfred,New York,14802-1205,Private,NFP,No
33,Alice Lloyd College,www.alc.edu,"4-year, Private not-for-profit",609.0,100 Purpose Rd,Pippa Passes,Kentucky,41844,Private,NFP,No
34,Allegheny College,www.allegheny.edu,"4-year, Private not-for-profit",2125.0,520 N Main St,Meadville,Pennsylvania,16335-3902,Private,NFP,No
35,Allegheny Wesleyan College,awc.edu,"4-year, Private not-for-profit",55.0,2161 Woodsdale Rd,Salem,Ohio,44460-9598,Private,NFP,No
36,Allen College,www.allencollege.edu,"4-year, Private not-for-profit",417.0,1990 Heath St,Waterloo,Iowa,50703-1999,Private,NFP,No
37,Allen University,www.allenuniversity.edu,"4-year, Private not-for-profit",725.0,1530 Harden Street,Columbia,South Carolina,29204,Private,NFP,No
38,Alliant International University,www.alliant.edu,"4-year, Private not-for-profit",,"One Beach Street, Suite 100",San Francisco,California,94133-1221,Private,NFP,No
39,Alliant International University,www.alliant.edu,"4-year, Private not-for-profit",,2500 Michelson Dr-Ste 250,Irvine,California,92612-1221,Private,NFP,No
40,Alliant International University,www.alliant.edu,"4-year, Private not-for-profit",,"2595 Capital Oaks Drive, Suite 200",Sacramento,California,95833,Private,NFP,No
41,Alliant International University,www.alliant.edu,"4-year, Private not-for-profit",4149.0,10455 Pomerado Road,San Diego,California,92131-1799,Private,NFP,No
42,Alliant International University,www.alliant.edu,"4-year, Private not-for-profit",,5130 E Clinton Way,Fresno,California,93727-1360,Private,NFP,No
43,Alliant International University,www.alliant.edu,"4-year, Private not-for-profit",,"1000 S Fremont Ave, Unit 5",Alhambra,California,91803-1360,Private,NFP,No
44,Alma College,www.alma.edu,"4-year, Private not-for-profit",1382.0,614 W Superior,Alma,Michigan,48801-1599,Private,NFP,No
45,Alvernia College,www.alvernia.edu,"4-year, Private not-for-profit",2809.0,400 Saint Bernardine St,Reading,Pennsylvania,19607-1799,Private,NFP,No
46,Alverno College,www.alverno.edu,"4-year, Private not-for-profit",2782.0,3400 S 43rd  St,Milwaukee,Wisconsin,53234-3922,Private,NFP,No
47,Amberton University,www.amberton.edu,"4-year, Private not-for-profit",1562.0,1700 Eastgate Dr,Garland,Texas,75041-5595,Private,NFP,No
48,American Academy of Acupuncture and Oriental Medicine,www.aaaom.edu,"4-year, Private for-profit",111.0,1925 W County Rd B-2,Roseville,Minnesota,55113,Private,For-Profit,No
49,American Academy of Art,www.aaart.edu,"4-year, Private for-profit",391.0,332 S Michigan Ave,Chicago,Illinois,60604-4302,Private,For-Profit,No
50,American Baptist College,www.abcnash.edu,"4-year, Private not-for-profit",106.0,1800 Baptist World Ctr Dr,Nashville,Tennessee,37207,Private,NFP,No
51,American Baptist Seminary of the West,www.absw.edu,"4-year, Private not-for-profit",65.0,2606 Dwight Way,Berkeley,California,94704-3029,Private,NFP,No
52,American College,www.theamericancollege.edu,"4-year, Private not-for-profit",386.0,270 Bryn Mawr Ave,Bryn Mawr,Pennsylvania,19010-2196,Private,NFP,No
53,American College of Acupuncture and Oriental Med,www.acaom.edu,"4-year, Private for-profit",127.0,9100 Park  West Drive,Houston,Texas,70063-4104,Private,For-Profit,No
54,American College of Traditional Chinese Medicine,www.actcm.edu,"4-year, Private not-for-profit",322.0,455 Arkansas St,San Francisco,California,94107,Private,NFP,No
55,American Conservatory Theater,www.act-sf.org,"4-year, Private not-for-profit",44.0,30 Grant Ave,San Francisco,California,94108-5834,Private,NFP,No
56,American Film Institute Conservatory,www.AFI.com,"4-year, Private not-for-profit",357.0,2021 N Western Ave,Los Angeles,California,90027-1625,Private,NFP,No
57,American Indian College of the Assemblies of God Inc,www.aicag.edu,"4-year, Private not-for-profit",99.0,10020 N 15th Ave,Phoenix,Arizona,85021,Private,NFP,No
58,American Intercontinental University,www.aiufl.edu,"4-year, Private for-profit",887.0,2250 North Commerce Pkwy,Weston,Florida,33326,Private,For-Profit,No
59,American Intercontinental University,www.houston.aiuniv.edu,"4-year, Private for-profit",474.0,9999 Richmond Avenue,Houston,Texas,77042,Private,For-Profit,No
60,American Intercontinental University,la.aiuniv.edu/,"4-year, Private for-profit",229.0,12655 West Jefferson Blvd,Los Angeles,California,90066,Private,For-Profit,No
61,American InterContinental University,www.aiuniv.edu,"4-year, Private for-profit",967.0,"3330 Peachtree Rd., NE",Atlanta,Georgia,30326-1001,Private,For-Profit,No
62,American Intercontinental University Online,www.aiuonline.edu,"4-year, Private for-profit",22798.0,5550 Prairie Stone Pky-Ste 400,Hoffman Estates,Illinois,60192,Private,For-Profit,No
63,American Intercontinental University-Dunwoody Campus,www.aiudunwoody.com,"4-year, Private for-profit",980.0,"6600 Peachtree Dunwoody Road,  500 Embassy Row",Atlanta,Georgia,30328,Private,For-Profit,No
64,American International College,www.aic.edu,"4-year, Private not-for-profit",3112.0,1000 State Street,Springfield,Massachusetts,01109,Private,NFP,No
65,American Jewish University,www.ajula.edu,"4-year, Private not-for-profit",209.0,15600 Mulholland Dr,Los Angeles,California,90077-1519,Private,NFP,No
66,American Musical and Dramatic Academy,www.amda.edu,"4-year, primarily associate's, Private not-for-profit",896.0,2109 Broadway,New York,New York,10023,Private,NFP,Yes
67,American Public University System,www.apus.edu,"4-year, Private for-profit",21729.0,111 W Congress St,Charles Town,West Virginia,25414,Private,For-Profit,No
68,American Samoa Community College,www.amsamoa.edu,"4-year, primarily associate's, Public",1806.0,Pago Pago,,American Samoa,96799-2609,Public,NFP,Yes
69,American University,WWW.AMERICAN.EDU,"4-year, Private not-for-profit",11684.0,4400 Massachusetts Ave NW,Washington,District of Columbia,20016-8001,Private,NFP,No
70,American University of Health Sciences,auhs.edu,"4-year, primarily associate's, Private for-profit",33.0,3501 Atlantic Ave.,Long Beach,California,90807,Private,For-Profit,Yes
71,American University of Puerto Rico,www.aupr.edu,"4-year, Private not-for-profit",1528.0,Carretera Estatal #2 Km.48.1,Manati,Puerto Rico,00674-1082,Private,NFP,No
72,American University of Puerto Rico,www.aupr.edu,"4-year, Private not-for-profit",1747.0,"Carr. #2, Km.14.4, Bo. Hato Tejas",Bayamon,Puerto Rico,00960-2037,Private,NFP,No
73,Amherst College,www.amherst.edu,"4-year, Private not-for-profit",1697.0,Boltwood Avenue,Amherst,Massachusetts,01002-5000,Private,NFP,No
74,Amridge University,www.amridgeuniversity.edu,"4-year, Private not-for-profit",705.0,1200 Taylor Rd,Montgomery,Alabama,36117-3553,Private,NFP,No
75,Anderson University,www.andersonuniversity.edu,"4-year, Private not-for-profit",2064.0,316 Boulevard,Anderson,South Carolina,29621,Private,NFP,No
76,Anderson University,www.anderson.edu,"4-year, Private not-for-profit",2737.0,1100 E 5th St,Anderson,Indiana,46012-3495,Private,NFP,No
77,Andover Newton Theological School,www.ants.edu,"4-year, Private not-for-profit",320.0,210 Herrick Rd,Newton Centre,Massachusetts,02459-2243,Private,NFP,No
78,Andrews University,www.andrews.edu,"4-year, Private not-for-profit",3419.0,Berrien Springs,,Michigan,49104,Private,NFP,No
79,Angelo State University,www.angelo.edu,"4-year, Public",6155.0,2601 W Avenue N,San Angelo,Texas,76909,Public,NFP,No
80,Angley College,www.angley.edu,"4-year, primarily associate's, Private for-profit",206.0,1700 S. Woodland Blvd.,Deland,Florida,32720,Private,For-Profit,Yes
81,Anna Maria College,www.annamaria.edu,"4-year, Private not-for-profit",1333.0,50 Sunset Lane,Paxton,Massachusetts,01612-1198,Private,NFP,No
82,Anthem College-Phoenix,www.anthem.edu,"4-year, primarily associate's, Private for-profit",2280.0,1515 E Indian School Road,Phoenix,Arizona,85014,Private,For-Profit,Yes
83,Antioch University McGregor,www.mcgregor.edu,"4-year, Private not-for-profit",630.0,900 Dayton St,Yellow Springs,Ohio,45387,Private,NFP,No
84,Antioch University New England,www.antiochne.edu,"4-year, Private not-for-profit",842.0,40 Avon St,Keene,New Hampshire,03431,Private,NFP,No
85,Antioch University PhD Program in Leadership and Change,www.phd.antioch.edu,"4-year, Private not-for-profit",133.0,150 E South College St,Yellow Springs,Ohio,45387,Private,NFP,No
86,Antioch University Seattle,www.antiochseattle.edu,"4-year, Private not-for-profit",854.0,2326 6th Ave,Seattle,Washington,98121,Private,NFP,No
87,Antioch University-Los Angeles Branch,www.antiochla.edu,"4-year, Private not-for-profit",697.0,400 Corporate Pointe,Culver City,California,90230-7615,Private,NFP,No
88,Antioch University-Santa Barbara,www.antiochsb.edu,"4-year, Private not-for-profit",369.0,"801 Garden St, Suite 101",Santa Barbara,California,93101-1581,Private,NFP,No
89,Apex School of Theology,www.apexsot.edu,"4-year, primarily associate's, Private not-for-profit",171.0,2945 South Miami Blvd Ste 114,Durham,North Carolina,27703,Private,NFP,Yes
90,Apostolic Bible Institute Inc,www.apostolic.org,"4-year, Private not-for-profit",64.0,6944 Hudson Blvd N,Saint Paul,Minnesota,55128-7021,Private,NFP,No
91,Appalachian Bible College,www.abc.edu,"4-year, Private not-for-profit",286.0,161 College Drive,Mount Hope,West Virginia,25880,Private,NFP,No
92,Appalachian College of Pharmacy,www.uacp.org,"4-year, Private not-for-profit",191.0,1060 Dragon Road,Oakwood,Virginia,24631,Private,NFP,No
93,Appalachian School of Law,www.asl.edu,"4-year, Private not-for-profit",350.0,1169 Edgewater Drive,Grundy,Virginia,24614-2825,Private,NFP,No
94,Appalachian State University,www.appstate.edu/,"4-year, Public",16610.0,Boone,,North Carolina,28608,Public,NFP,No
95,Aquinas College,www.aquinas.edu,"4-year, Private not-for-profit",2159.0,1607 Robinson Rd SE,Grand Rapids,Michigan,49506-1799,Private,NFP,No
96,Aquinas College,www.aquinascollege.edu,"4-year, primarily associate's, Private not-for-profit",847.0,4210 Harding Pike,Nashville,Tennessee,37205,Private,NFP,Yes
97,Aquinas Institute of Theology,www.ai.edu,"4-year, Private not-for-profit",267.0,23 S. Spring Ave.,Saint Louis,Missouri,63108,Private,NFP,No
98,Arcadia University,www.arcadia.edu,"4-year, Private not-for-profit",3868.0,450 S Easton Rd,Glenside,Pennsylvania,19038-3295,Private,NFP,No
99,Argosy University-Atlanta,www.argosy.edu/atlanta,"4-year, Private for-profit",2481.0,"980 Hammond Drive, Suite 100",Atlanta,Georgia,30328,Private,For-Profit,No
100,Argosy University-Chicago,www.argosy.edu/chicago,"4-year, Private for-profit",4347.0,"225 N. Michigan Ave, Ste 1300",Chicago,Illinois,60601,Private,For-Profit,No
101,Argosy University-Dallas,www.argosy.edu/dallas/,"4-year, Private for-profit",470.0,"8080 Park Lane, Suite 400A",Dallas,Texas,75231,Private,For-Profit,No
102,Argosy University-Denver,www.argosy.edu/denver/,"4-year, primarily associate's, Private for-profit",260.0,1200 Lincoln St.,Denver,Colorado,80203,Private,For-Profit,Yes
103,Argosy University-Hawaii,www.argosy.edu/hawaii/,"4-year, Private for-profit",457.0,"400 ASB Tower, 1001 Bishop Street",Honolulu,Hawaii,96813,Private,For-Profit,No
104,Argosy University-Inland Empire,www.argosy.edu/inlandempire,"4-year, Private for-profit",434.0,"636 East Brier Dr, Suite 120",San Bernardino,California,92408,Private,For-Profit,No
105,Argosy University-Los Angeles,www.argosy.edu/losangeles,"4-year, primarily associate's, Private for-profit",307.0,2950 31st Street,Santa Monica,California,90405,Private,For-Profit,Yes
106,Argosy University-Nashville,www.argosy.edu/nashville/,"4-year, Private for-profit",442.0,"100 Centerview Dr, Suite 225",Nashville,Tennessee,37214,Private,For-Profit,No
107,Argosy University-Orange County,www.argosy.edu/orangecounty,"4-year, Private for-profit",881.0,"3501 West Sunflower Avenue, Suite 110",Santa Ana,California,92704,Private,For-Profit,No
108,Argosy University-Phoenix,www.argosy.edu/phoenix/,"4-year, Private for-profit",773.0,2233 West Dunlap Avenue,Phoenix,Arizona,85021,Private,For-Profit,No
109,Argosy University-Salt Lake City,www.argosy.edu/locations/salt-lake-city,"4-year, Private for-profit",64.0,121 Election Rd Ste 300,Draper,Utah,84020,Private,For-Profit,No
110,Argosy University-San Diego,www.argosy.edu/sandiego,"4-year, primarily associate's, Private for-profit",175.0,"1615 Murray Canyon Road, Suite 100",San Diego,California,92108,Private,For-Profit,Yes
111,Argosy University-San Francisco Bay Area,www.argosy.edu/sanfrancisco,"4-year, Private for-profit",768.0,1005 Atlantic Avenue,Alameda,California,94501,Private,For-Profit,No
112,Argosy University-Sarasota,www.argosy.edu/sarasota/,"4-year, Private for-profit",1783.0,5250 17th Street,Sarasota,Florida,34235,Private,For-Profit,No
113,Argosy University-Schaumburg,www.argosy.edu/schaumburg,"4-year, Private for-profit",730.0,"999 North Plaza Dr., Suite 111",Schaumburg,Illinois,60173-5403,Private,For-Profit,No
114,Argosy University-Seattle,www.argosy.edu/seattle,"4-year, Private for-profit",448.0,2601-A Elliott Avenue,Seattle,Washington,98121,Private,For-Profit,No
115,Argosy University-Tampa,www.argosy.edu/tampa,"4-year, Private for-profit",771.0,"4401 North Himes Ave, Suite 150",Tampa,Florida,33614,Private,For-Profit,No
116,Argosy University-Twin Cities,www.argosy.edu/twincities/,"4-year, primarily associate's, Private for-profit",2046.0,1515 Central Parkway,Eagan,Minnesota,55121,Private,For-Profit,Yes
117,Argosy University-Washington D.C.,www.argosy.edu/washingtondc,"4-year, Private for-profit",1137.0,"1550 Wilson Boulevard, Suite 600",Arlington,Virginia,22209,Private,For-Profit,No
118,Arizona School of Acupuncture and Oriental Medicine,www.asaom.edu,"4-year, Private for-profit",50.0,4646 E Fort Lowell Rd Ste 104,Tucson,Arizona,85712,Private,For-Profit,No
119,Arizona State University,www.asu.edu,"4-year, Public",67082.0,Tempe,,Arizona,85287,Public,NFP,No
120,Arkansas Baptist College,www.arkansasbaptist.edu,"4-year, primarily associate's, Private not-for-profit",626.0,1621 Dr. Marting Luther King Drive,Little Rock,Arkansas,72202-6099,Private,NFP,Yes
121,Arkansas State University-Main Campus,www.astate.edu,"4-year, Public",11490.0,2105 E. Aggie Road,State University,Arkansas,72467,Public,NFP,No
122,Arkansas Tech University,www.atu.edu,"4-year, Public",7492.0,Administration Bldg 200; 1509 N Boulder Ave,Russellville,Arkansas,72801-2222,Public,NFP,No
123,Arlington Baptist College,www.abconline.edu,"4-year, Private not-for-profit",140.0,3001 W Division,Arlington,Texas,76012-3425,Private,NFP,No
124,Armstrong Atlantic State University,www.armstrong.edu,"4-year, Public",7067.0,11935 Abercorn St,Savannah,Georgia,31419-1997,Public,NFP,No
125,Art Academy of Cincinnati,www.artacademy.edu,"4-year, Private not-for-profit",167.0,1212 Jackson Street,Cincinnati,Ohio,45202-1706,Private,NFP,No
126,Art Center College of Design,www.artcenter.edu,"4-year, Private not-for-profit",1632.0,1700 Lida St,Pasadena,California,91103,Private,NFP,No
127,Asbury College,www.asbury.edu,"4-year, Private not-for-profit",1550.0,1 Macklem Dr,Wilmore,Kentucky,40390-1198,Private,NFP,No
128,Asbury Theological Seminary,www.asburyseminary.edu,"4-year, Private not-for-profit",1602.0,204 N Lexington Ave,Wilmore,Kentucky,40390-1199,Private,NFP,No
129,Ashford University,www.ashford.edu,"4-year, Private for-profit",25605.0,400 N Bluff Blvd,Clinton,Iowa,52733-2967,Private,For-Profit,No
130,Ashland University,www.ashland.edu,"4-year, Private not-for-profit",6200.0,401 College Ave,Ashland,Ohio,44805,Private,NFP,No
131,Assemblies of God Theological Seminary,www.agts.edu,"4-year, Private not-for-profit",470.0,1435 N Glenstone Ave,Springfield,Missouri,65802-2131,Private,NFP,No
132,Associated Mennonite Biblical Seminary,www.ambs.edu,"4-year, Private not-for-profit",146.0,3003 Benham Ave,Elkhart,Indiana,46517-1999,Private,NFP,No
133,Assumption College,www.assumption.edu,"4-year, Private not-for-profit",2876.0,500 Salisbury St,Worcester,Massachusetts,01609-1296,Private,NFP,No
134,Atenas College,,"4-year, primarily associate's, Private not-for-profit",1522.0,Paseo de La Atenas  #101,Manati,Puerto Rico,00674,Private,NFP,Yes
135,Athenaeum of Ohio,www.athenaeum.edu,"4-year, Private not-for-profit",253.0,6616 Beechmont Ave,Cincinnati,Ohio,45230-2091,Private,NFP,No
136,Athens State University,www.athens.edu,"4-year, Public",3330.0,300 N Beaty St,Athens,Alabama,35611,Public,NFP,No
137,Atlanta Christian College,www.acc.edu,"4-year, Private not-for-profit",456.0,2605 Ben Hill Rd,East Point,Georgia,30344,Private,NFP,No
138,Atlantic College,www.atlanticcollege-pr.com,"4-year, Private not-for-profit",1186.0,Colton St. # 9,Guaynabo,Puerto Rico,00970,Private,NFP,No
139,Atlantic Institute of Oriental Medicine,www.atom.edu,"4-year, Private not-for-profit",101.0,"100 E Broward Blvd, Suite 100",Fort Lauderdale,Florida,33301-3510,Private,NFP,No
140,Atlantic Union College,www.auc.edu,"4-year, Private not-for-profit",691.0,338 Main St,South Lancaster,Massachusetts,01561-1000,Private,NFP,No
141,Auburn University Main Campus,www.auburn.edu,"4-year, Public",24530.0,"Auburn, Alabama",Auburn University,Alabama,36849,Public,NFP,No
142,Auburn University-Montgomery,www.aum.edu,"4-year, Public",5296.0,7440 East Drive,Montgomery,Alabama,36117-3596,Public,NFP,No
143,Augsburg College,www.augsburg.edu,"4-year, Private not-for-profit",3898.0,2211 Riverside Ave,Minneapolis,Minnesota,55454,Private,NFP,No
144,Augusta Area Dietetic Internship-University Hospital,www.universityhealth.org,"4-year, Private not-for-profit",12.0,1350 Walton Way,Augusta,Georgia,30901-2629,Private,NFP,No
145,Augusta State University,www.aug.edu,"4-year, Public",6689.0,2500 Walton Way,Augusta,Georgia,30904-2200,Public,NFP,No
146,Augustana College,www.augie.edu,"4-year, Private not-for-profit",1754.0,2001 S Summit Ave,Sioux Falls,South Dakota,57197-0001,Private,NFP,No
147,Augustana College,www.augustana.edu,"4-year, Private not-for-profit",2547.0,639 38th St,Rock Island,Illinois,61201-2296,Private,NFP,No
148,Aurora University,www.aurora.edu,"4-year, Private not-for-profit",4291.0,347 S Gladstone Ave,Aurora,Illinois,60506-4892,Private,NFP,No
149,Austin College,www.austincollege.edu,"4-year, Private not-for-profit",1298.0,900 N Grand Ave,Sherman,Texas,75090-4400,Private,NFP,No
150,Austin Graduate School of Theology,www.austingrad.edu,"4-year, Private not-for-profit",59.0,7640 Guadalupe St,Austin,Texas,78752,Private,NFP,No
151,Austin Peay State University,www.apsu.edu,"4-year, Public",9401.0,601 College St,Clarksville,Tennessee,37044,Public,NFP,No
152,Austin Presbyterian Theological Seminary,www.austinseminary.edu,"4-year, Private not-for-profit",168.0,100 E 27th St,Austin,Texas,78705-5797,Private,NFP,No
153,Ave Maria School of Law,www.avemarialaw.edu,"4-year, Private not-for-profit",302.0,3475 Plymouth Rd,Ann Arbor,Michigan,48105-2550,Private,NFP,No
154,Ave Maria University,www.avemaria.edu,"4-year, Private not-for-profit",672.0,5050 Ave Maria Blvd,Ave Maria,Florida,34142,Private,NFP,No
155,Averett University,www.averett.edu,"4-year, Private not-for-profit",842.0,420 W Main St,Danville,Virginia,24541,Private,NFP,No
156,Averett University-Non-traditional programs,www.averett.edu/working-professionals/index.html,"4-year, Private not-for-profit",1664.0,420 W Main St,Danville,Virginia,24541,Private,NFP,No
157,Avila University,www.Avila.edu,"4-year, Private not-for-profit",1939.0,11901 Wornall Rd,Kansas City,Missouri,64145-1698,Private,NFP,No
158,Azusa Pacific University,www.apu.edu,"4-year, Private not-for-profit",8548.0,901 E Alosta,Azusa,California,91702-7000,Private,NFP,No
159,Babson College,www.babson.edu,"4-year, Private not-for-profit",3439.0,Babson Park,Wellesley,Massachusetts,02457-0310,Private,NFP,No
160,Bacone College,www.bacone.edu,"4-year, primarily associate's, Private not-for-profit",958.0,2299 Old Bacone Rd,Muskogee,Oklahoma,74403-1597,Private,NFP,Yes
161,Bais Binyomin Academy,,"4-year, Private not-for-profit",63.0,132 Prospect St,Stamford,Connecticut,06901,Private,NFP,No
162,Bais Medrash Elyon,,"4-year, Private not-for-profit",26.0,73 Main St,Monsey,New York,10952,Private,NFP,No
163,Bais Medrash Toras Chesed,,"4-year, Private not-for-profit",93.0,901 Monmouth Ave,Lakewood,New Jersey,08701,Private,NFP,No
164,Baker College Center for Graduate Studies,www.baker.edu,"4-year, Private not-for-profit",6008.0,1116 W Bristol Rd,Flint,Michigan,48507,Private,NFP,No
165,Baker College Corporate Services,www.corporate.baker.edu,"4-year, primarily associate's, Private not-for-profit",440.0,1195 Centre Rd.,Auburn Hills,Michigan,48326,Private,NFP,Yes
166,Baker College of Allen Park,www.baker.edu,"4-year, primarily associate's, Private not-for-profit",2551.0,4500 Enterprise Dr,Allen Park,Michigan,48101,Private,NFP,Yes
167,Baker College of Auburn Hills,www.baker.edu,"4-year, primarily associate's, Private not-for-profit",3824.0,1500 University Dr,Auburn Hills,Michigan,48326-2642,Private,NFP,Yes
168,Baker College of Cadillac,www.baker.edu,"4-year, primarily associate's, Private not-for-profit",1952.0,9600 E 13th St,Cadillac,Michigan,49601-9600,Private,NFP,Yes
169,Baker College of Clinton Township,www.baker.edu,"4-year, primarily associate's, Private not-for-profit",5637.0,34950 Little Mack Ave,Clinton Township,Michigan,48035,Private,NFP,Yes
170,Baker College of Flint,www.baker.edu,"4-year, primarily associate's, Private not-for-profit",5820.0,1050 West Bristol Road,Flint,Michigan,48507-9987,Private,NFP,Yes
171,Baker College of Jackson,www.baker.edu,"4-year, primarily associate's, Private not-for-profit",1830.0,2800 Springport Rd,Jackson,Michigan,49202-1290,Private,NFP,Yes
172,Baker College of Muskegon,www.Baker.edu,"4-year, primarily associate's, Private not-for-profit",5232.0,1903 Marquette Ave,Muskegon,Michigan,49442,Private,NFP,Yes
173,Baker College of Owosso,www.baker.edu,"4-year, primarily associate's, Private not-for-profit",2926.0,1020 S Washington St,Owosso,Michigan,48867,Private,NFP,Yes
174,Baker College of Port Huron,www.baker.edu/,"4-year, primarily associate's, Private not-for-profit",1716.0,3403 Lapeer Road,Port Huron,Michigan,48060,Private,NFP,Yes
175,Baker University,www.bakeru.edu,"4-year, Private not-for-profit",4112.0,618 Eighth Street,Baldwin City,Kansas,66006-0065,Private,NFP,No
176,Baker University School of Nursing,www.bakeru.edu,"4-year, Private not-for-profit",,1500 SW 10th Street,Topeka,Kansas,66604-1353,Private,NFP,No
177,Baker University School of Professional and Graduate Studies and Graduate School of Education,www.bakeru.edu,"4-year, Private not-for-profit",,"8001 College Blvd, Suite 100",Overland Park,Kansas,66210-1353,Private,NFP,No
178,Baldwin-Wallace College,www.bw.edu,"4-year, Private not-for-profit",4374.0,275 Eastland Rd,Berea,Ohio,44017-2088,Private,NFP,No
179,Ball State University,www.bsu.edu,"4-year, Public",20243.0,2000 University Ave,Muncie,Indiana,47306,Public,NFP,No
180,Baltimore Hebrew University Inc,www.bhu.edu,"4-year, Private not-for-profit",104.0,5800 Park Heights Avenue,Baltimore,Maryland,21215-3932,Private,NFP,No
